GVKEY,LPERMCO,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,act,at,capx,cshpri,dlc,dltt,dvc,lct,oibdp,pi,ppent,prstkc,pstkl,re,sale,sstk,txditc,xrd,xsga,costat,mkvalt,prcc_f,gind,gsubind,naics,sic,spcindcd,market_share,market_value,CI
30234,13097,2010/12/31,2010,INDL,C,D,STD,MMR,MCMORAN EXPLORATION CO,USD,1046.841,2899.364,303.386,95.125,74.72,485.256,0,418.244,156.438,-116.976,1785.607,0,722.063,-1107.578,434.376,700,0,,95.148,I,2694.2023,17.14,101020,10102020,211111,1311,202,0.000806141633169947,2694.2023,0.381031444708329
15060,13311,2010/12/31,2010,INDL,C,D,STD,CPE,CALLON PETROLEUM CO/DE,USD,30.344,218.326,59.908,28.817,0,165.504,0,21.461,55.663,8.212,172.238,0,0,-232.64,89.882,-0.04,0,,16.507,A,171.5853,5.92,101020,10102020,2111,1311,380,0.000166808530564721,171.5853,0.450043571020764
28791,13414,2010/12/31,2010,INDL,C,D,STD,ROYL,ROYALE ENERGY INC,USD,9.06,23.82,2.895,10.245,0,3.2,0,9.101,2.075,2.014,10.258,0,0.154,-16.808,11.598,0,0,,5.24,A,23.016,2.24,101020,10102020,211120,1311,380,2.15242800281439e-05,23.016,0.328977272727273
20653,13960,2010/12/31,2010,INDL,C,D,STD,DEN,DENBURY INC,USD,864.318,9065.063,1130.595,370.876,7.948,2416.208,0,579.345,1049.455,479.07,6737.358,,0,1335.654,1812.496,13.065,1547.992,,,A,7640.0471,19.09,101020,10102020,2111,1311,380,0.00336374128762638,7640.0471,0.305329214728459
62626,14518,2010/06/30,2010,INDL,C,D,STD,EPM,EVOLUTION PETROLEUM CORP,USD,6.229,37.195,3.798,27.004,0,0,0,1.288,-1.736,-3.56,30.905,0,0,13.799,5.022,0.003,2.95,,5.093,A,135.5756,5.01,101020,10102020,211120,1311,175,9.32013573903593e-06,135.5756,0.131409591031763
28460,14702,2010/12/31,2010,INDL,C,D,STD,FXEN,FX ENERGY INC,USD,25.297,66.604,7.814,43.387,0.131,35,0,7.085,7.3,-0.758,38.374,0,0,-147.375,25.013,8.56,0,,12.39,I,278.5028,6.15,101020,10102020,211111,1311,380,4.64206601434699e-05,278.5028,0.241986931343099
162909,15327,2010/12/31,2010,INDL,C,D,STD,BPZRQ,BPZ RESOURCES INC,USD,84.079,470.307,158.064,115.368,4.18,156.75,0,61.376,-6.661,-71.379,342.507,0.042,0,-300.959,110.464,,0,,84.54,I,549.7419,4.76,101020,10102020,211111,1311,,0.000205005869031634,549.7419,0.602109577665446
29453,15434,2010/12/31,2010,INDL,C,D,STD,LNG,CHENIERE ENERGY INC,USD,165.61,2553.507,4.148,55.765,0,2927.509,0,66.334,167.874,-78.394,2157.597,2.844,0,-1061.622,291.513,0,0,,80.597,A,374.0407,5.52,101020,10102040,211130,1311,380,0.00054100771200589,374.0407,0.00187111922069779
64741,15465,2010/12/31,2010,INDL,C,D,STD,BEXP,BRIGHAM EXPLORATION CO,USD,360.857,1085.401,408.761,111.355,0,300,0,176.545,120.765,43.98,712.193,0.524,0,-170.565,169.722,281.431,1.088,,12.943,I,3167.7124,27.24,101020,10102020,211111,1311,380,0.000314980501374085,3167.7124,1.22472270327603
65220,15633,2010/12/31,2010,INDL,C,D,STD,CRZO,CARRIZO OIL & GAS INC,USD,60.332,1144.134,347.808,33.861,0.16,558.094,0,119.004,68.472,15.679,983.057,0,0,-174.598,139.462,189.224,0,,35.906,I,1341.8679,34.49,101020,10102020,2111,1311,380,0.000258822136686067,1341.8679,0.474046613057108
