date,region,new_BBL,retired_BBL,new_MCF,retired_MCF
2016-01-01T00:00:00Z,Eagle Ford,84509.93052,119476.4,301652.29084,369767.84
2016-02-01T00:00:00Z,Eagle Ford,70040.81337,115130.52,253309.0601,363965.3
2016-03-01T00:00:00Z,Eagle Ford,59542.91491,111234.69,216054.37191,358064.97
2016-04-01T00:00:00Z,Eagle Ford,56113.27302,106944.81,206671.19298,353050.46
2016-05-01T00:00:00Z,Eagle Ford,46124.44992,104127.36,166418.77888,344626.68
2016-06-01T00:00:00Z,Eagle Ford,50592.94944,101322.52,179757.02646,337309.83
2016-07-01T00:00:00Z,Eagle Ford,58844.21256,98353.591,203564.44872,331036.55
2016-08-01T00:00:00Z,Eagle Ford,69308.2756,97140.854,232799.6376,324519.58
2016-09-01T00:00:00Z,Eagle Ford,72787.8788,95167.926,233959.8444,318060.57
2016-10-01T00:00:00Z,Eagle Ford,66983.0518,93255.302,199977.155,311914.67
2016-11-01T00:00:00Z,Eagle Ford,72639.70116,91338.419,213764.27826,306269.54
2016-12-01T00:00:00Z,Eagle Ford,85312.85041,89668.11,246099.74513,301949.35
2017-01-01T00:00:00Z,Eagle Ford,98886.7749,88361.672,285741.03648,299081.19
2017-02-01T00:00:00Z,Eagle Ford,112925.13297,87456.959,333933.50952,297239.27
2017-03-01T00:00:00Z,Eagle Ford,123223.5384,87186.327,376085.1248,296587.39
2017-04-01T00:00:00Z,Eagle Ford,127747.06848,86617.62,402665.64323,294001.14
2017-05-01T00:00:00Z,Eagle Ford,131619.68204,88097.938,424826.3838,296686.22
2017-06-01T00:00:00Z,Eagle Ford,122387.93184,88764.631,400030.38144,295182.95
2017-07-01T00:00:00Z,Eagle Ford,110934.279,90877.425,369319.1166,299239.73
2017-08-01T00:00:00Z,Eagle Ford,102758.62146,92422.032,358420.94874,299984.33
2017-09-01T00:00:00Z,Eagle Ford,101272.47905,94717.506,345827.44891,305473.1
2017-10-01T00:00:00Z,Eagle Ford,97286.38218,96501.336,326984.09172,309149.37
2017-11-01T00:00:00Z,Eagle Ford,99421.66619,98412.543,325444.82586,314789.91
2017-12-01T00:00:00Z,Eagle Ford,107293.9712,100152.39,341279.1848,320319.43
2018-01-01T00:00:00Z,Eagle Ford,109872.13666,101840.44,341707.52746,326135.85
2018-02-01T00:00:00Z,Eagle Ford,115694.73243,103433.79,355242.41685,331844.36
2018-03-01T00:00:00Z,Eagle Ford,121216.31088,104735.21,371425.2906,336295.81
2018-04-01T00:00:00Z,Eagle Ford,126743.39392,106051.8,390168.2488,340085.72
2018-05-01T00:00:00Z,Eagle Ford,128456.532,107255.83,399064.1616,342583.96
2018-06-01T00:00:00Z,Eagle Ford,133215.65508,109044.78,417649.63186,345776.77
2018-07-01T00:00:00Z,Eagle Ford,131311.6383,109638.22,417368.43366,344588.93
2018-08-01T00:00:00Z,Eagle Ford,127501.4196,111594.08,410000.7501,346723.72
2018-09-01T00:00:00Z,Eagle Ford,124198.5402,111971.49,412008.4881,345548.66
2018-10-01T00:00:00Z,Eagle Ford,122100.93259,113391.87,413064.68658,347392.22
2018-11-01T00:00:00Z,Eagle Ford,121240.26933,113704.87,415656.88956,347098.56
2018-12-01T00:00:00Z,Eagle Ford,121667.8566,113824.75,417609.968,346974.01
2019-01-01T00:00:00Z,Eagle Ford,119379.99624,113975.29,408910.1426,348901.09
2019-02-01T00:00:00Z,Eagle Ford,119001.791,114103.96,408239.20538,350448.18
2019-03-01T00:00:00Z,Eagle Ford,118119.92031,114341.71,405041.17392,352365.92
2019-04-01T00:00:00Z,Eagle Ford,112918.49272,114753.35,385715.10472,354521.24
2019-05-01T00:00:00Z,Eagle Ford,112244.31384,115252.3,380938.96854,356266.51
2019-06-01T00:00:00Z,Eagle Ford,115097.09638,116034.23,389925.60992,358126.43
2019-07-01T00:00:00Z,Eagle Ford,112825.08494,116921.78,386175.73558,359811.3
2019-08-01T00:00:00Z,Eagle Ford,116139.9087,118020.67,404055.39032,361780.48
2019-09-01T00:00:00Z,Eagle Ford,114686.26572,118837.22,396520.76178,363191.7
2019-10-01T00:00:00Z,Eagle Ford,108649.3937,120367.02,380177.775,366540.73
2019-11-01T00:00:00Z,Eagle Ford,107013.69373,121548.41,373069.90691,369510.19
2019-12-01T00:00:00Z,Eagle Ford,108564.87386,122811.91,367409.186,373488.87
2020-01-01T00:00:00Z,Eagle Ford,110782.6122,122778.71,364999.59834,373510.38
2020-02-01T00:00:00Z,Eagle Ford,112920.35769,122260.99,357454.63053,372724.59
2020-03-01T00:00:00Z,Eagle Ford,106731.0321,120722.27,343229.5328,368791.1
2020-04-01T00:00:00Z,Eagle Ford,63761.396,187119.53,211732.504,549498.75
2020-05-01T00:00:00Z,Eagle Ford,33921.06256,372649.67,112641.69196,1216618.8
2020-06-01T00:00:00Z,Eagle Ford,21442.95735,17450.022,71205.6411,102273.39
2020-07-01T00:00:00Z,Eagle Ford,20242.15176,29287.257,67218.12516,114091.45
2020-08-01T00:00:00Z,Eagle Ford,22772.4208,35313.381,75620.3909,127884.01
2020-09-01T00:00:00Z,Eagle Ford,23341.7313,41744.989,77510.9006,146123.87
2020-10-01T00:00:00Z,Eagle Ford,43065.49428,53419.005,143007.61176,162465.99
2020-11-01T00:00:00Z,Eagle Ford,61308.51625,69842.114,203587.225,206227.87
2020-12-01T00:00:00Z,Eagle Ford,66605.57204,76357.13,221177.16124,224751.26
2021-01-01T00:00:00Z,Eagle Ford,70292.6661,77598.581,233420.8968,232786.69
2021-02-01T00:00:00Z,Eagle Ford,72272.57633,182622.28,239995.58548,841632.58
2021-03-01T00:00:00Z,Eagle Ford,74678.5536,-139101.337,247985.11584,-732740.508
2021-04-01T00:00:00Z,Eagle Ford,82496.46475,92459.289,274217.2916,313533.69
2021-05-01T00:00:00Z,Eagle Ford,83321.42945,92752.245,278330.55075,319562.92
2021-06-01T00:00:00Z,Eagle Ford,85787.74368,91046.018,290577.09528,314335.06
2021-07-01T00:00:00Z,Eagle Ford,85830.63768,91296.642,294935.75136,310742.28
2021-08-01T00:00:00Z,Eagle Ford,90644.30586,91055.193,315990.88708,311658.04
2021-09-01T00:00:00Z,Eagle Ford,90689.62808,90620.471,320730.75058,311019.27
2007-01-01T00:00:00Z,Permian,14174.9694552,10956.498,145977.83192,92414.616
2007-02-01T00:00:00Z,Permian,14485.8864546,11158.498,145694.186044,95582.425
2007-03-01T00:00:00Z,Permian,13871.9047852,11340.498,136491.269904,98331.377
2007-04-01T00:00:00Z,Permian,13941.0219015,11546.011,133791.955011,101267.66
2007-05-01T00:00:00Z,Permian,13952.5193979,11753.117,130640.834043,104035.31
2007-06-01T00:00:00Z,Permian,14018.5140416,11978.627,128021.823132,106862.66
2007-07-01T00:00:00Z,Permian,14012.8179104,12207.975,125179.253632,109607.09
2007-08-01T00:00:00Z,Permian,14220.6958688,12453.925,124394.836584,112473.42
2007-09-01T00:00:00Z,Permian,14129.6018526,12705.688,121950.96173,115400.9
2007-10-01T00:00:00Z,Permian,13887.7591732,12949.859,116926.373102,118314.76
2007-11-01T00:00:00Z,Permian,13873.58772,13195.119,115419.1056,121384.95
2007-12-01T00:00:00Z,Permian,14724.76951,13416.582,121604.189157,124326.74
2008-01-01T00:00:00Z,Permian,14719.1712126,13616.681,121282.851027,127067.27
2008-02-01T00:00:00Z,Permian,15160.626075,13768.867,123353.278,128717.65
2008-03-01T00:00:00Z,Permian,16008.8865618,13843.713,128001.930402,127642.57
2008-04-01T00:00:00Z,Permian,16550.8316232,13865.576,128715.822074,125745.31
2008-05-01T00:00:00Z,Permian,16975.2957453,14215.707,128079.154008,123943.22
2008-06-01T00:00:00Z,Permian,18857.7857505,14735.719,139591.44675,122538.07
2008-07-01T00:00:00Z,Permian,19318.8973831,15347.593,134227.469397,121425.71
2008-08-01T00:00:00Z,Permian,19602.6411735,15994.542,130685.78841,120571.25
2008-09-01T00:00:00Z,Permian,20295.2499975,16562.876,129494.80077,120186.91
2008-10-01T00:00:00Z,Permian,20469.0214512,16993.103,125303.78058,119830.92
2008-11-01T00:00:00Z,Permian,19588.7179631,17254.169,113763.947869,118606.08
2008-12-01T00:00:00Z,Permian,18989.3129868,17356.145,105118.045812,116166.95
2009-01-01T00:00:00Z,Permian,16640.4870222,17339.818,88338.877178,112205.34
2009-02-01T00:00:00Z,Permian,14659.87572,17219.86,75251.579688,107566.93
2009-03-01T00:00:00Z,Permian,12238.3260276,17090.69,61215.79932,103427.97
2009-04-01T00:00:00Z,Permian,9415.096986,16969.812,44748.140307,99138.431
2009-05-01T00:00:00Z,Permian,10015.72214,16949.873,44407.427652,95479.146
2009-06-01T00:00:00Z,Permian,11540.436336,17056.544,47460.548421,92583.648
2009-07-01T00:00:00Z,Permian,13915.913727,17259.987,53751.51456,90824.281
2009-08-01T00:00:00Z,Permian,16061.2745,17518.412,58608.130125,90323.49
2009-09-01T00:00:00Z,Permian,17890.490328,17779.707,61593.122688,90235.434
2009-10-01T00:00:00Z,Permian,19791.74301,17982.264,64730.360699,89111.352
2009-11-01T00:00:00Z,Permian,22471.18446,18106.105,70526.52861,87884.592
2009-12-01T00:00:00Z,Permian,23076.106491,18147.976,72077.265984,87203.621
2010-01-01T00:00:00Z,Permian,24792.067058,18221.495,79900.04491,87182.198
2010-02-01T00:00:00Z,Permian,24519.038976,18517.211,81415.095936,87744.543
2010-03-01T00:00:00Z,Permian,24083.803544,18885.789,80667.8249,88926.05
2010-04-01T00:00:00Z,Permian,26943.756873,19436.749,89031.447483,91388.215
2010-05-01T00:00:00Z,Permian,29545.65262,20104.916,95608.000286,93655.383
2010-06-01T00:00:00Z,Permian,31531.66032,20921.816,98827.14024,95620.82
2010-07-01T00:00:00Z,Permian,31997.799124,21790.465,95948.517476,96897.416
2010-08-01T00:00:00Z,Permian,33192.13952,22722.808,93334.059776,97185.398
2010-09-01T00:00:00Z,Permian,34147.158052,23624.012,89577.097647,96625.857
2010-10-01T00:00:00Z,Permian,34070.383121,24425.498,85759.717713,95812.136
2010-11-01T00:00:00Z,Permian,34597.760835,25133.266,85706.624268,95088.28
2010-12-01T00:00:00Z,Permian,35535.253416,25736.089,87023.119248,94625.096
2011-01-01T00:00:00Z,Permian,41805.513666,26325.607,100322.23572,93976.453
2011-02-01T00:00:00Z,Permian,39118.27567,26894.808,91715.547645,93446.853
2011-03-01T00:00:00Z,Permian,39751.535784,27411.536,91963.479908,93214.639
2011-04-01T00:00:00Z,Permian,40342.428973,28017.218,93081.803854,92793.027
2011-05-01T00:00:00Z,Permian,43013.606382,28717.366,99163.370064,92227.876
2011-06-01T00:00:00Z,Permian,43888.799808,29589.146,100340.064576,91488.43
2011-07-01T00:00:00Z,Permian,44959.424544,30543.518,101261.056188,90870.635
2011-08-01T00:00:00Z,Permian,46483.342829,31600.274,102759.447549,90573.826
2011-09-01T00:00:00Z,Permian,47066.940469,32700.501,101396.18493,90485.166
